Exceedance_Beach_Yearly,TX163187,TX214299,TX226514,TX239942,TX327206,TX334226,TX393353,TX451421,TX486021,TX710697,TX751320,TX767833,TX822495,TX974690
2009,3.45%,11.34%,18.18%,3.70%,7.69%,0.00%,6.19%,8.37%,10.14%,7.12%,1.18%,0.76%,0.00%,0.00%
2010,0.00%,8.28%,5.88%,0.00%,5.88%,0.00%,0.00%,8.56%,9.48%,6.60%,1.11%,2.44%,3.17%,3.08%
2011,3.31%,2.59%,9.52%,0.00%,0.00%,3.70%,4.88%,3.39%,5.15%,3.47%,2.25%,6.02%,3.70%,4.88%
2012,8.26%,3.57%,10.00%,5.13%,7.69%,10.84%,5.13%,2.70%,3.25%,2.52%,7.43%,3.90%,3.90%,9.76%
2013,4.31%,5.53%,12.20%,9.76%,7.50%,3.90%,8.64%,11.20%,7.04%,3.93%,3.35%,5.13%,5.13%,13.95%
2014,7.32%,14.93%,18.60%,11.11%,7.41%,8.54%,11.63%,10.77%,19.02%,15.77%,11.82%,9.64%,4.05%,5.00%
2015,11.29%,17.65%,18.18%,11.90%,8.97%,8.43%,9.76%,10.66%,19.50%,12.82%,13.92%,7.41%,6.17%,9.76%
2016,3.31%,7.91%,18.18%,9.30%,4.88%,3.70%,9.30%,6.40%,8.44%,9.50%,6.81%,4.88%,7.14%,4.88%
2017,5.93%,4.76%,18.60%,9.76%,0.00%,6.33%,9.88%,9.76%,8.45%,5.14%,4.40%,3.90%,3.90%,7.50%
2018,5.83%,5.39%,18.60%,5.13%,2.56%,5.13%,7.50%,0.87%,8.00%,5.79%,7.07%,8.54%,9.76%,2.63%
2019,7.56%,9.52%,20.00%,12.20%,1.33%,5.13%,8.75%,1.72%,8.16%,10.89%,4.40%,2.63%,7.59%,2.63%
2020,2.70%,10.71%,2.94%,8.11%,3.70%,4.17%,0.00%,1.72%,6.56%,5.98%,3.59%,1.39%,6.67%,2.78%
2021,8.66%,11.57%,19.57%,9.09%,4.88%,6.10%,13.19%,13.53%,13.14%,11.92%,9.18%,6.17%,2.47%,15.91%
