Exceedance_Yearly,GAL001,GAL003,GAL005,GAL007,GAL013,GAL014,GAL017,GAL019,GAL021,GAL022,GAL023,GAL024,GAL025,GAL026,GAL027,GAL028,GAL030,GAL032,GAL034,GAL035,GAL036,GAL037,GAL038,GAL039,GAL040,GAL041,GAL042,GAL044,GAL045,GAL046,GAL047,GAL048,GAL049,GAL050,GAL053,GAL055
2009,0.00000,0.00000,0.01493,0.00000,0.03704,0.00000,0.00000,0.00000,0.18182,0.00000,0.03509,0.01695,0.00000,0.01587,0.05263,0.03125,0.04615,0.09375,0.13846,0.09195,0.07692,0.13253,0.08451,0.08824,0.09722,0.15278,0.12121,0.06154,0.04545,0.11250,0.05714,0.05797,0.07692,0.11594,0.09375,0.05660
2010,0.03390,0.02985,0.01754,0.03030,0.00000,0.03077,0.00000,0.00000,0.05882,0.02703,0.00000,0.00000,0.01493,0.00000,0.00000,0.00000,0.00000,0.00000,0.07143,0.12222,0.08333,0.10256,0.08955,0.05797,0.08000,0.08108,0.08333,0.08333,0.06579,0.02469,0.09459,0.11688,0.05333,0.08571,0.08219,0.03175
2011,0.00000,0.07143,0.07143,0.04878,0.00000,0.04878,0.02500,0.04878,0.09524,0.01695,0.02500,0.02500,0.02564,0.02500,0.02500,0.04878,0.07143,0.02500,0.02564,0.08621,0.02564,0.00000,0.02564,0.02564,0.05000,0.05000,0.00000,0.00000,0.05000,0.03636,0.05000,0.05000,0.02564,0.02564,0.00000,0.00000
2012,0.02632,0.05128,0.02632,0.05128,0.05128,0.09756,0.11905,0.09756,0.10000,0.10526,0.07500,0.05128,0.05128,0.07500,0.09756,0.07500,0.02632,0.07500,0.00000,0.04082,0.05263,0.10000,0.05263,0.02703,0.00000,0.02703,0.00000,0.02703,0.02703,0.02083,0.02703,0.02703,0.02703,0.02703,0.07692,0.07692
2013,0.07500,0.02632,0.02632,0.07500,0.09756,0.13953,0.05128,0.02632,0.12195,0.03125,0.02632,0.02632,0.05128,0.02632,0.05128,0.05128,0.09756,0.07500,0.07500,0.09375,0.02632,0.13953,0.02632,0.00000,0.05128,0.07500,0.02632,0.02632,0.02632,0.04762,0.05128,0.15909,0.09756,0.07500,0.09756,0.05128
2014,0.02941,0.05000,0.13953,0.05000,0.11111,0.05000,0.05000,0.11905,0.18605,0.08108,0.20000,0.13953,0.07317,0.07317,0.07317,0.07317,0.13636,0.09524,0.26000,0.13953,0.20833,0.15556,0.15556,0.11628,0.13636,0.15556,0.17391,0.20833,0.19149,0.12195,0.13333,0.11364,0.13636,0.07143,0.05128,0.09524
2015,0.05000,0.07317,0.07317,0.07500,0.11905,0.09756,0.11628,0.05000,0.18182,0.12308,0.13953,0.11905,0.18182,0.05128,0.13953,0.14286,0.11905,0.07500,0.20455,0.19444,0.18605,0.16667,0.16667,0.18605,0.18605,0.18605,0.16667,0.14286,0.16279,0.11429,0.10000,0.07500,0.14634,0.09756,0.10256,0.07692
2016,0.07143,0.07143,0.04878,0.04878,0.09302,0.04878,0.02500,0.04878,0.18182,0.08955,0.07143,0.07143,0.02500,0.02500,0.02500,0.04878,0.11364,0.07143,0.11364,0.05970,0.09302,0.04878,0.11364,0.07143,0.04878,0.13636,0.04878,0.11111,0.07143,0.12500,0.04878,0.04878,0.09302,0.04878,0.04878,0.04878
2017,0.02632,0.05128,0.02632,0.05128,0.09756,0.07500,0.05128,0.07500,0.18605,0.05970,0.05128,0.02632,0.02632,0.05128,0.02632,0.09756,0.09756,0.10000,0.07500,0.09524,0.07692,0.00000,0.12195,0.07692,0.00000,0.02632,0.05128,0.00000,0.05128,0.06667,0.07692,0.11905,0.11905,0.05128,0.00000,0.00000
2018,0.09756,0.09756,0.07317,0.09756,0.05128,0.02632,0.05128,0.05128,0.18605,0.06250,0.07500,0.07500,0.07500,0.05000,0.02564,0.09756,0.05128,0.09756,0.07317,0.10145,0.05000,0.07317,0.05000,0.02564,0.02500,0.09756,0.05000,0.09756,0.07500,0.02899,0.05000,0.02564,0.00000,0.00000,0.02564,0.02564
2019,0.07692,0.07500,0.02632,0.02632,0.12195,0.02632,0.05128,0.05128,0.20000,0.05970,0.00000,0.02632,0.07500,0.10000,0.05128,0.07500,0.09756,0.07692,0.09756,0.07576,0.07500,0.11905,0.09524,0.07317,0.09524,0.09302,0.09524,0.14286,0.09091,0.09091,0.11628,0.02564,0.02564,0.00000,0.00000,0.02632
2020,0.02703,0.10526,0.02778,0.00000,0.08108,0.02778,0.02778,0.05556,0.02941,0.01754,0.05556,0.00000,0.07895,0.02703,0.02703,0.02703,0.00000,0.00000,0.00000,0.09524,0.09756,0.18182,0.09524,0.11628,0.11905,0.07317,0.05000,0.02564,0.05000,0.09231,0.05000,0.02564,0.02564,0.00000,0.05000,0.02439
2021,0.04762,0.00000,0.05000,0.07317,0.09091,0.15909,0.02564,0.09302,0.19565,0.04918,0.13333,0.11364,0.08696,0.11628,0.07143,0.07143,0.13333,0.13043,0.16667,0.13333,0.09091,0.13333,0.13043,0.11364,0.13043,0.09302,0.09091,0.07143,0.09091,0.13115,0.17391,0.13333,0.13636,0.13636,0.04878,0.04878
