Yearly,GAL001,GAL003,GAL005,GAL007,GAL013,GAL014,GAL017,GAL019,GAL021,GAL022,GAL023,GAL024,GAL025,GAL026,GAL027,GAL028,GAL030,GAL032,GAL034,GAL035,GAL036,GAL037,GAL038,GAL039,GAL040,GAL041,GAL042,GAL044,GAL045,GAL046,GAL047,GAL048,GAL049,GAL050,GAL053,GAL055
2009,8.730221295,7.443539791,7.951442515,8.805459525,9.397709003,8.173293974,8.058746492,8.77510995,27.64504372,8.558735301,8.011656868,8.813405212,7.692223346,7.614872554,9.528943977,9.09875437,11.0959413,14.28291501,20.86059121,16.14720206,14.62634864,19.14547485,15.88472031,15.50290855,14.26397624,25.39850811,17.58264904,16.82959071,16.08830921,17.36628506,15.53581224,16.05432608,12.92693021,13.97166612,12.94444205,11.00893166
2010,9.287523614,9.642740315,7.815129317,9.270810798,8.001507173,8.954057848,8.308996474,8.249923825,14.02718712,7.777823741,8.109796686,8.547426089,8.845524339,8.390607028,8.4778221,9.074377779,10.87692474,10.6709135,15.46889331,17.69174005,12.90120317,14.24138732,13.48331069,11.33188669,12.17629369,11.44256008,12.35086324,12.81102306,11.88143574,13.39430786,13.77380834,18.6037351,15.31667021,15.57116901,13.44359656,12.02151619
2011,7.572957527,10.83762714,11.37270522,8.075195064,7.974698495,10.28947586,8.621966355,9.561457538,10.65733494,8.086946734,8.101281838,8.456261004,7.822388262,8.070580252,8.023842282,9.656680291,10.16955245,9.260758981,11.17084914,12.68828991,10.94253409,8.600790866,7.703124073,7.594086574,9.243251029,8.452340156,6.904234989,7.212878372,8.737651966,8.336079429,8.52047353,8.895664741,8.651025192,8.75172303,6.709942747,6.956580646
2012,7.520645927,8.700154119,8.879417965,8.628924872,10.4862525,12.73796572,10.96557576,11.30546835,11.2365358,15.06889867,11.04812417,11.73144901,9.058141221,10.45470153,9.545650092,10.24665735,9.267216293,11.17504883,11.49764916,11.47503036,11.81559681,12.10414801,9.948254427,8.683464088,8.698855571,8.867141903,8.390195548,8.071187948,8.993864789,10.90279143,9.875814012,10.19714179,9.560632048,8.959545686,10.56289293,9.92129016
2013,11.18636661,9.77732359,10.505802,15.08947904,11.88851083,13.41499858,10.65371402,9.289581822,13.54951697,10.29506437,9.585462691,9.671783859,10.73750452,9.821482575,9.792356322,10.04668707,12.22326732,13.46350356,17.53420019,19.8378315,14.9196619,19.51428183,12.65483458,10.89276762,12.94964526,12.64921806,12.21597799,12.62222649,13.77950778,16.04114969,16.36562807,15.60724963,13.75873951,14.81817709,10.82348151,8.100086404
2014,10.20015206,12.18065059,18.18852276,13.08397651,17.31833655,12.39182185,12.12089486,12.4289848,16.31203666,14.25134334,19.53292385,17.6489273,14.49720019,14.48411992,14.36238692,15.41459481,18.89111377,18.15423725,38.36903312,31.26776093,34.81650227,23.84702106,25.80957776,21.60652283,24.43094424,23.5433698,31.33667112,31.69533258,30.81211078,26.40343974,24.33940766,21.88004082,19.612377,17.99238692,13.55502473,13.95425033
2015,16.1208841,13.9907614,12.76584125,12.68151406,17.83969647,15.54833474,16.79257103,12.73221087,28.57907338,19.49739539,16.68256705,17.90030187,19.24860469,14.742386,17.45757145,17.7972025,19.31055575,18.41402636,29.3048881,33.77552903,27.64559537,32.26952655,21.68145829,25.65140719,23.95486964,28.81159027,21.40622766,26.96233882,28.64529287,23.32828034,16.60390673,20.82030171,20.3079739,19.42367965,19.12579063,11.97862103
2016,14.70925333,14.94628758,12.71435794,12.70998353,17.10655156,13.78632081,10.44273249,9.902356971,22.88290628,14.88906575,12.68392187,12.36349872,10.30164709,10.5605548,11.23128098,14.71312366,18.86431544,13.62976687,23.29017938,19.57207061,14.06120883,16.55184141,14.27345771,13.55839537,13.35094326,14.83733716,12.69485053,18.39200183,16.84938937,20.9193971,15.39104903,15.16470454,17.09796761,17.02003752,11.2308344,10.74142208
2017,12.84897583,12.09939362,12.45368404,13.86208599,14.03909937,11.04248823,12.77407949,11.94165385,24.38504095,14.82515251,12.84476149,10.26971493,11.57791675,12.31561755,14.07273291,13.71335858,14.83152012,18.54226012,17.05828037,20.28729875,15.61523616,12.21752248,15.12443366,15.31079548,11.37937355,10.69728399,12.15755699,11.25713866,14.01925242,14.59575528,15.39684053,18.87976819,14.59625882,12.74368062,10.67740506,10.0318864
2018,13.71866536,15.34562346,12.61685227,12.41908542,11.60506122,11.13578731,12.52429694,10.65746941,23.45407289,12.93830094,11.19234305,12.31747204,13.06915033,13.52608974,10.96456796,16.36919266,16.42820195,19.37620061,14.2956549,15.69473969,14.09107704,15.60215997,12.57005293,13.540955,10.3089035,17.5516817,13.25105498,12.0350632,12.84683478,13.36107276,16.87233871,13.07818378,13.58541491,14.33071833,10.03947248,10.31537448
2019,12.70331671,14.87292593,10.7342157,12.82679536,13.08792327,14.22816374,10.67639753,11.65299562,31.97206677,13.85788098,10.37074337,10.37981142,11.72572628,12.19989657,11.91929669,12.87108071,14.25663726,16.80183928,17.24024897,16.4897418,19.49722614,19.94023997,16.43323529,15.57424869,19.2839025,20.05764599,19.45965596,20.42488099,16.31438597,16.3093665,15.54756601,9.327351442,12.73446684,9.589449377,8.800380704,10.7888682
2020,13.01092324,15.05496385,12.35340059,11.61302593,9.55972329,11.4230918,12.89831274,12.67207238,15.42388183,12.57858442,13.78977901,10.77418373,12.70604026,13.62857806,14.99297536,12.30732008,12.30781436,10.35877722,15.43230293,17.55351654,15.7710052,20.49478957,17.8254419,15.55634011,17.72129063,15.77627071,14.60187691,16.66408506,15.77994543,16.45165361,15.17532365,14.28725408,11.82178601,11.59401132,11.70554565,12.39213472
2021,13.1501581,15.1518845,13.35311342,12.88113552,16.20451212,16.13326565,13.42025641,13.19153146,36.76610961,14.9986899,12.2583051,13.16988883,14.01257949,13.92156676,15.54551942,11.78618709,17.72683314,20.85766624,23.62364712,24.72916087,20.49375067,20.14438189,18.89562534,17.4342826,15.4242176,16.4117546,14.86302983,15.58140025,17.80406011,24.27871119,18.64936293,19.56614801,22.55198255,21.79671221,14.51426036,13.97030714
2022,8.408964153,9.382648044,7.578582833,18.72734787,5.946035575,10,5.946035575,7.889835105,5,7.071067812,7.071067812,8.705505633,8.408964153,7.889835105,9.382648044,5.946035575,5,5.946035575,7.071067812,8.408964153,10,7.578582833,11.0668192,7.071067812,7.071067812,8.408964153,9.306048591,11.96570978,5.946035575,7.071067812,7.071067812,14.91458839,13.32225182,11.0668192,11.96570978,12.34825926
